Question ID,Response Code,Response Label
Q740,2,1 to 1 1/2 cups (8 to 12 ounces)
Q740,3,More than 1 1/2 cups (12 ounces)
Q742,1,1 time in the past month
Q742,2,2-3 times in the past month
Q742,3,1-2 times per week
Q742,4,3-4 times per week
Q742,5,5-6 times per week
Q742,6,1 time per day
Q742,7,2-3 times per day
Q742,8,4-5 times per day
Q742,9,6 or more times per day
Q743,1,Less than 1 can or bottle (12 ounces)
Q743,2,1 can or bottle (12 to 16 ounces)
Q743,3,More than 1 can or bottle (16 ounces)
Q744,1,Almost never or never
Q744,2,About  1/4 of the time
Q744,3,About  1/2 of the time
Q744,4,About  3/4 of the time
Q744,5,Almost always or always
Q745,1,Almost never or never
Q745,2,About  1/4 of the time
Q745,3,About  1/2 of the time
Q745,4,About  3/4 of the time
Q745,5,Almost always or always
Q747,1,1 time in the past month
Q747,2,2-3 times in the past month
Q747,3,1-2 times per week
Q747,4,3-4 times per week
Q747,5,5-6 times per week
Q747,6,1 time per day
Q747,7,2-3 times per day
Q747,8,4-5 times per day
Q747,9,6 or more times per day
Q748,1,Less than 1 bottle (12 ounces)
Q748,2,1 to 2 bottles (12 to 24 ounces)
Q748,3,More than 2 bottles (24 ounces)
Q750,1,1 time in the past month
Q750,2,2-3 times in the past month
Q750,3,1-2 times per week
Q750,4,3-4 times per week
Q750,5,5-6 times per week
Q750,6,1 time per day
Q750,7,2-3 times per day
Q750,8,4-5 times per day
Q750,9,6 or more times per day
Q751,1,Less than 1 cup (8 ounces)
Q751,2,1 to 2 cups (8 to 16 ounces)
Q751,3,More than 2 cups (16 ounces)
Q753,1,1 time in the past month
Q753,2,2-3 times in the past month
Q753,3,1-2 times per week
Q753,4,3-4 times per week
Q753,5,5-6 times per week
Q753,6,1 time per day
Q753,7,2-3 times per day
Q753,8,4-5 times per day
Q753,9,6 or more times per day
Q754,1,Less than 1 cup (8 ounces)
Q754,2,1 to 3 cups (8 to 24 ounces)
Q754,3,More than 3 cups (24 ounces)
Q755,1,Almost never or never
Q755,2,About  1/4 of the time
Q755,3,About  1/2 of the time
Q755,4,About  3/4 of the time
Q755,5,Almost always or always
Q756,1,Almost never or never
Q756,2,About  1/4 of the time
Q756,3,About  1/2 of the time
Q756,4,About  3/4 of the time
Q756,5,Almost always or always
Q757,1,Almost never or never
Q757,2,About  1/4 of the time
Q757,3,About  1/2 of the time
Q757,4,About  3/4 of the time
Q757,5,Almost always or always
Q759,1,1 time in the past month
Q759,2,2-3 times in the past month
Q759,3,1-2 times per week
Q759,4,3-4 times per week
Q759,5,5-6 times per week
Q759,6,1 time per day
Q759,7,2-3 times per day
Q759,8,4-5 times per day
Q759,9,6 or more times per day
Q760,1,Less than 1 bottle (12 ounces)
Q760,2,1 to 2 bottles (12 to 20 ounces)
Q760,3,More than 2 bottles (20 ounces)
Q762,1,1 time in the past month
Q762,2,2-3 times in the past month
Q762,3,1-2 times per week
Q762,4,3-4 times per week
Q762,5,5-6 times per week
Q762,6,1 time per day
Q762,7,2-3 times per day
Q762,8,4-5 times per day
Q762,9,6 or more times per day
Q763,1,Less than a 12-ounce can or bottle
Q763,2,1 to 3 12-ounce cans or bottles
Q763,3,More than 3 12-ounce cans or bottles
Q764,1,Almost never or never
Q764,2,About  1/4 of the time
Q764,3,About  1/2 of the time
Q764,4,About  3/4 of the time
Q764,5,Almost always or always
Q766,1,1 time in the past month
Q766,2,2-3 times in the past month
Q766,3,1-2 times per week
Q766,4,3-4 times per week
Q766,5,5-6 times per week
Q766,6,1 time per day
Q766,7,2-3 times per day
Q766,8,4-5 times per day
Q766,9,6 or more times per day
Q767,1,Less than 1 glass (5 ounces)
Q767,2,1 to 2 glasses (5 to 10 ounces)
Q767,3,More than 2 glasses (10 ounces)
Q769,1,1 time in the past month
Q769,2,2-3 times in the past month
Q769,3,1-2 times per week
Q769,4,3-4 times per week
Q769,5,5-6 times per week
Q769,6,1 time per day
Q769,7,2-3 times per day
Q769,8,4-5 times per day
Q769,9,6 or more times per day
Q770,1,Less than 1 shot of liquor
Q770,2,1 to 4 shots of liquor
Q770,3,More than 4 shots of liquor
Q772,1,Less than 1 cup in the past month
Q772,2,1-3 cups in the past month
Q772,3,1 cup per week
Q772,4,2-4 cups per week
Q772,5,5-6 cups per week
Q772,6,1 cup per day
Q772,7,2-3 cups per day
Q772,8,4-5 cups per day
Q772,9,6 or more cups per day
Q773,1,Almost never or never
Q773,2,About  1/4 of the time
Q773,3,About  1/2 of the time
Q773,4,About  3/4 of the time
Q773,5,Almost always or always
Q774,1,Almost never or never
Q774,2,About  1/4 of the time
Q774,3,About  1/2 of the time
Q774,4,About  3/4 of the time
Q774,5,Almost always or always
Q775,1,Almost never or never
Q775,2,About  1/4 of the time
Q775,3,About  1/2 of the time
Q775,4,About  3/4 of the time
Q775,5,Almost always or always
Q776,1,Almost never or never
Q776,2,About  1/4 of the time
Q776,3,About  1/2 of the time
Q776,4,About  3/4 of the time
Q776,5,Almost always or always
Q777,1,Almost never or never
Q777,2,About  1/4 of the time
Q777,3,About  1/2 of the time
Q777,4,About  3/4 of the time
Q777,5,Almost always or always
Q779,1,1 time in the past month
Q779,2,2-3 times in the past month
Q779,3,1 time per week
Q779,4,2 times per week
Q779,5,3-4 times per week
Q779,6,5-6 times per week
Q779,7,1 time per day
Q779,8,2 or more times per day
Q780,1,Less than a small drink (12 ounces)
Q780,2,Small to medium drink (12 to 16 ounces)
Q780,3,More than a large drink (20 ounces)
Q781,1,Almost never or never
Q781,2,About  1/4 of the time
Q781,3,About  1/2 of the time
Q781,4,About  3/4 of the time
Q781,5,Almost always or always
Q783,1,"Less than 1 glass, can, or bottle in the past month"
Q783,2,"1-3 glasses, cans, or bottles in the past month"
Q783,3,"1 glass, can, or bottle per week"
Q783,4,"2-4 glasses, cans, or bottles per week"
Q783,5,"5-6 glasses, cans, or bottles per week"
Q783,6,"1 glass, can, or bottle per day"
Q783,7,"2-3 glasses, cans, or bottles per day"
Q783,8,"4-5 glasses, cans, or bottles per day"
Q783,9,"6 or more glasses, cans, or bottles per day"
Q784,1,Almost never or never
Q784,2,About  1/4 of the time
Q784,3,About  1/2 of the time
Q784,4,About  3/4 of the time
Q784,5,Almost always or always
Q785,1,Almost never or never
Q785,2,About  1/4 of the time
Q785,3,About  1/2 of the time
Q785,4,About  3/4 of the time
Q785,5,Almost always or always
Q786,1,Sugar or honey
Q786,2,"Artificial sweeteners (such as Splenda, Equal, Sweet'N Low or others)"
Q788,1,Less than 1 cup in the past month
Q788,2,1-3 cups in the past month
Q788,3,1 cup per week
Q788,4,2-4 cups per week
Q788,5,5-6 cups per week
Q788,6,1 cup per day
Q788,7,2-3 cups per day
Q788,8,4-5 cups per day
Q788,9,6 or more cups per day
Q789,1,Almost never or never
Q789,2,About  1/4 of the time
Q789,3,About  1/2 of the time
Q789,4,About  3/4 of the time
Q789,5,Almost always or always
Q791,1,Less than 1 cup in the past month
Q791,2,1-3 cups in the past month
Q791,3,1 cup per week
Q791,4,2-4 cups per week
Q791,5,5-6 cups per week
Q791,6,1 cup per day
Q791,7,2-3 cups per day
Q791,8,4-5 cups per day
Q791,9,6 or more cups per day
Q792,1,Almost never or never
Q792,2,About  1/4 of the time
Q792,3,About  1/2 of the time
Q792,4,About  3/4 of the time
Q792,5,Almost always or always
Q794,1,Less than 1 cup in the past month
Q794,2,1-3 cups in the past month
Q794,3,1 cup per week
Q794,4,2-4 cups per week
Q794,5,5-6 cups per week
Q794,6,1 cup per day
Q794,7,2-3 cups per day
Q794,8,4-5 cups per day
Q794,9,6 or more cups per day
Q795,1,"Sugar, honey, or other sweeteners"
Q795,2,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer"
Q797,1,Almost never or never
Q797,2,About  1/4 of the time
Q797,3,About  1/2 of the time
Q797,4,About  3/4 of the time
Q797,5,Almost always or always
Q798,1,Less than 1 teaspoon
Q798,2,1 to 3 teaspoons
Q798,3,More than 3 teaspoons
Q799,1,Almost never or never
Q799,2,About  1/4 of the time
Q799,3,About  1/2 of the time
Q799,4,About  3/4 of the time
Q799,5,Almost always or always
Q800,1,Equal or aspartame
Q800,2,Sweet'N Low or saccharin
Q800,3,Splenda or sucralose
Q800,4,Stevia
Q800,5,Herbal extracts or other kind
Q801,1,Less than 1 packet or less than 1 teaspoon
Q801,2,1 packet or 1 teaspoon
Q801,3,More than 1 packet or more than 1 teaspoon
Q803,1,Almost never or never
Q803,2,About  1/4 of the time
Q803,3,About  1/2 of the time
Q803,4,About  3/4 of the time
Q803,5,Almost always or always
Q804,1,Less than 1 teaspoon
Q804,2,1 to 4 teaspoons
Q804,3,More than 4 teaspoons
Q805,1,Regular powdered
Q805,2,Low-fat or fat-free powdered
Q805,3,Regular liquid
Q805,4,Low-fat or fat-free liquid
Q806,1,Almost never or never
Q806,2,About  1/4 of the time
Q806,3,About  1/2 of the time
Q806,4,About  3/4 of the time
Q806,5,Almost always or always
Q807,1,Less than 1 teaspoon
Q807,2,1 to 3 teaspoons
Q807,3,More than 3 teaspoons
Q808,1,Regular
Q808,2,Low-fat
Q809,1,Almost never or never
Q809,2,About  1/4 of the time
Q809,3,About  1/2 of the time
Q809,4,About  3/4 of the time
Q809,5,Almost always or always
Q810,1,Less than 1 tablespoon
Q810,2,1 to 4 tablespoons
Q810,3,More than 4 tablespoons
Q811,1,Whole milk
Q811,2,2% milk
Q811,3,1% milk
Q811,4,"Skim, nonfat, or  1/2% milk"
Q811,5,Evaporated or condensed (canned) milk
Q811,6,Soy milk
Q811,7,Rice milk
Q811,8,Almond milk
Q811,9,Coconut milk
Q811,10,Other
Q812,1,Applesauce
Q812,2,Apples
Q812,3,Bananas
Q812,4,"Pineapple (fresh, canned, or frozen)"
Q812,5,"Pears (fresh, canned, or frozen)"
Q812,6,"Peaches, nectarines, or plums"
Q812,7,Dried fruit (such as prunes or raisins)
Q812,8,Grapes
Q812,9,Cantaloupe
Q812,10,"Melons, other than cantaloupe (such as watermelon or honeydew)"
Q812,11,Strawberries
Q812,12,Blueberries
Q812,13,"Oranges, tangerines, or clementines"
Q812,14,Grapefruit
Q812,15,Avocado or guacamole
Q812,16,Other kinds of fruit (not listed above)
Q814,1,1 time in the past month
Q814,2,2-3 times in the past month
Q814,3,1 time per week
Q814,4,2 times per week
Q814,5,3-4 times per week
Q814,6,5-6 times per week
Q814,7,1 time per day
Q814,8,2 or more times per day
Q815,1,Less than  1/4 cup
Q815,2,1/4 to  1/2 cups
Q815,3,More than  1/2 cups
Q817,1,1 time in the past month
Q817,2,2-3 times in the past month
Q817,3,1 time per week
Q817,4,2 times per week
Q817,5,3-4 times per week
Q817,6,5-6 times per week
Q817,7,1 time per day
Q817,8,2 or more times per day
Q818,1,Less than 1 apple
Q818,2,1 apple
Q818,3,More than 1 apple
Q820,1,1 time in the past month
Q820,2,2-3 times in the past month
Q820,3,1 time per week
Q820,4,2 times per week
Q820,5,3-4 times per week
Q820,6,5-6 times per week
Q820,7,1 time per day
Q820,8,2 or more times per day
Q821,1,Less than 1 banana
Q821,2,1 banana
Q821,3,More than 1 banana
Q823,1,1 time in the past month
Q823,2,2-3 times in the past month
Q823,3,1 time per week
Q823,4,2 times per week
Q823,5,3-4 times per week
Q823,6,5-6 times per week
Q823,7,1 time per day
Q823,8,2 or more times per day
Q824,1,Less than  1/4 cup or less than 1 medium slice
Q824,2,1/4 to  3/4 cup or 1 medium slice
Q824,3,More than  3/4 cup or more than 1 medium slice
Q826,1,1 time in the past month
Q826,2,2-3 times in the past month
Q826,3,1 time per week
Q826,4,2 times per week
Q826,5,3-4 times per week
Q826,6,5-6 times per week
Q826,7,1 time per day
Q826,8,2 or more times per day
Q827,1,Less than 1 pear
Q827,2,1 pear
Q827,3,More than 1 pear
Q829,1,1 time in the past month
Q829,2,2-3 times in the past month
Q829,3,1 time per week
Q829,4,2 times per week
Q829,5,3-4 times per week
Q829,6,5-6 times per week
Q829,7,1 time per day
Q829,8,2 or more times per day
Q830,1,Less than 1 fruit
Q830,2,1 fruit
Q830,3,More than 1 fruit
Q832,1,1 time in the past month
Q832,2,2-3 times in the past month
Q832,3,1 time per week
Q832,4,2 times per week
Q832,5,3-4 times per week
Q832,6,5-6 times per week
Q832,7,1 time per day
Q832,8,2 or more times per day
Q833,1,Less than 1 tablespoon
Q833,2,1 to 4 tablespoons
Q833,3,More than 4 tablespoons
Q835,1,1 time in the past month
Q835,2,2-3 times in the past month
Q835,3,1 time per week
Q835,4,2 times per week
Q835,5,3-4 times per week
Q835,6,5-6 times per week
Q835,7,1 time per day
Q835,8,2 or more times per day
Q836,1,Less than  1/2 cup or fewer than 10 grapes
Q836,2,1/2 to 1 1/2 cups or 10 to 30 grapes
Q836,3,More than 1 1/2 cups or more than 30 grapes
Q838,1,1 time in the past month
Q838,2,2-3 times in the past month
Q838,3,1 time per week
Q838,4,2 times per week
Q838,5,3-4 times per week
Q838,6,5-6 times per week
Q838,7,1 time per day
Q838,8,2 or more times per day
Q839,1,Less than  1/4 melon or less than  1/2 cup
Q839,2,1/4 melon or  1/2 to 1 cup
Q839,3,More than  1/4 melon or more than 1 cup
Q841,1,1 time in the past month
Q841,2,2-3 times in the past month
Q841,3,1 time per week
Q841,4,2 times per week
Q841,5,3-4 times per week
Q841,6,5-6 times per week
Q841,7,1 time per day
Q841,8,2 or more times per day
Q842,1,Less than  1/2 cup or 1 small wedge
Q842,2,1/2 to 2 cups or 1 medium wedge
Q842,3,More than 2 cups or 1 large wedge
Q844,1,1 time in the past month
Q844,2,2-3 times in the past month
Q844,3,1 time per week
Q844,4,2 times per week
Q844,5,3-4 times per week
Q844,6,5-6 times per week
Q844,7,1 time per day
Q844,8,2 or more times per day
Q845,1,Less than  1/4 cup or fewer than 3 berries
Q845,2,1/4 to  3/4 cup or 3 to 8 berries
Q845,3,More than  3/4 cup or more than 8 berries
Q847,1,1 time in the past month
Q847,2,2-3 times in the past month
Q847,3,1 time per week
Q847,4,2 times per week
Q847,5,3-4 times per week
Q847,6,5-6 times per week
Q847,7,1 time per day
Q847,8,2 or more times per day
Q848,1,Less than  1/4 cup
Q848,2,1/4 to  1/2 cup
Q848,3,More than  1/2 cup
Q850,1,1 time in the past month
Q850,2,2-3 times in the past month
Q850,3,1 time per week
Q850,4,2 times per week
Q850,5,3-4 times per week
Q850,6,5-6 times per week
Q850,7,1 time per day
Q850,8,2 or more times per day
Q851,1,"Less than 1 orange or tangerine, or fewer than 2 clementines"
Q851,2,"1 orange or tangerine, or 2 clementines"
Q851,3,"More than 1 orange or tangerine, or more than 2 clementines"
Q853,1,1 time in the past month
Q853,2,2-3 times in the past month
Q853,3,1 time per week
Q853,4,2 times per week
Q853,5,3-4 times per week
Q853,6,5-6 times per week
Q853,7,1 time per day
Q853,8,2 or more times per day
Q854,1,Less than  1/2 grapefruit
Q854,2,1/2 grapefruit
Q854,3,More than  1/2 grapefruit
Q856,1,1 time in the past month
Q856,2,2-3 times in the past month
Q856,3,1 time per week
Q856,4,2 times per week
Q856,5,3-4 times per week
Q856,6,5-6 times per week
Q856,7,1 time per day
Q856,8,2 or more times per day
Q857,1,1/4 avocado or less than  1/4 cup of guacamole
Q857,2,1/4 to  3/4 avocado or  1/4 to  3/4 cup of guacamole
Q857,3,3/4 avocado or more than  3/4 cup of guacamole
Q859,1,1 time in the past month
Q859,2,2-3 times in the past month
Q859,3,1 time per week
Q859,4,2 times per week
Q859,5,3-4 times per week
Q859,6,5-6 times per week
Q859,7,1 time per day
Q859,8,2 or more times per day
Q860,1,Less than  1/4 cup
Q860,2,1/4 to 1 cup
Q860,3,More than 1 cup
Q861,1,"COOKED greens (such as spinach, turnip, collard, mustard, chard, or kale)"
Q861,2,"RAW greens (such as spinach, turnip, collard, chard, kale, watercress, seaweed, mustard greens, beet greens, or dandelion greens)"
Q861,3,Coleslaw
Q861,4,Sauerkraut or cabbage (other than coleslaw)
Q861,5,"COOKED carrots (including frozen, fresh, or canned)"
Q861,6,RAW carrots
Q861,7,"String beans or green beans (fresh, canned, or frozen)"
Q861,8,"Peas (fresh, canned, or frozen)"
Q861,9,"Corn (fresh, canned, or frozen)"
Q861,10,Broccoli (fresh or frozen)
Q861,11,Cauliflower or Brussels sprouts (fresh or frozen)
Q861,12,"Sweet peppers (green, red, or yellow)"
Q861,13,Onions
Q861,14,Garlic
Q861,15,Mixed vegetables
Q861,16,Lettuce salads (with or without other vegetables)
Q861,17,Salad dressing on salads (including low-fat or fat-free)
Q861,18,"Mayonnaise on salads (including low-fat, diet, or light)"
Q861,19,Fresh tomatoes (including those in salads)
Q861,20,Salsa
Q861,21,Catsup or ketchup
Q861,22,Sweet potatoes or yams
Q861,23,"French fries, home fries, hash browned potatoes, or Tater Tots"
Q861,24,Potato salad
Q861,25,"Baked, boiled, or mashed potatoes"
Q861,26,"Cooked dried or canned beans (such as baked beans, pintos, kidney, black-eyed peas, lima, lentils, soybeans, or refried beans; NOT including bean soups or chili)"
Q861,27,Other kinds of vegetables (not listed above)
Q863,1,1 time in the past month
Q863,2,2-3 times in the past month
Q863,3,1 time per week
Q863,4,2 times per week
Q863,5,3-4 times per week
Q863,6,5-6 times per week
Q863,7,1 time per day
Q863,8,2 or more times per day
Q864,1,Less than  1/4 cup
Q864,2,1/4 to  3/4 cup
Q864,3,More than  3/4 cup
Q866,1,1 time in the past month
Q866,2,2-3 times in the past month
Q866,3,1 time per week
Q866,4,2 times per week
Q866,5,3-4 times per week
Q866,6,5-6 times per week
Q866,7,1 time per day
Q866,8,2 or more times per day
Q867,1,Less than  1/2 cup
Q867,2,1/2 to 1 3/4 cups
Q867,3,More than 1 3/4 cups
Q869,1,1 time in the past month
Q869,2,2-3 times in the past month
Q869,3,1 time per week
Q869,4,2 times per week
Q869,5,3-4 times per week
Q869,6,5-6 times per week
Q869,7,1 time per day
Q869,8,2 or more times per day
Q870,1,Less than  1/2 cup
Q870,2,1/2 to 1 1/2 cups
Q870,3,More than 1 1/2 cups
Q872,1,1 time in the past month
Q872,2,2-3 times in the past month
Q872,3,1 time per week
Q872,4,2 times per week
Q872,5,3-4 times per week
Q872,6,5-6 times per week
Q872,7,1 time per day
Q872,8,2 or more times per day
Q873,1,Less than  1/2 cup
Q873,2,1/2 to 1 1/2 cups
Q873,3,More than 1 1/2 cups
Q875,1,1 time in the past month
Q875,2,2-3 times in the past month
Q875,3,1 time per week
Q875,4,2 times per week
Q875,5,3-4 times per week
Q875,6,5-6 times per week
Q875,7,1 time per day
Q875,8,2 or more times per day
Q876,1,Less than  1/4 cup
Q876,2,1/4 to  1/2 cup
Q876,3,More than  1/2 cup
Q878,1,1 time in the past month
Q878,2,2-3 times in the past month
Q878,3,1 time per week
Q878,4,2 times per week
Q878,5,3-4 times per week
Q878,6,5-6 times per week
Q878,7,1 time per day
Q878,8,2 or more times per day
Q879,1,Less than  1/4 cup
Q879,2,1/4 to  1/2 cup
Q879,3,More than  1/2 cup
Q881,1,1 time in the past month
Q881,2,2-3 times in the past month
Q881,3,1 time per week
Q881,4,2 times per week
Q881,5,3-4 times per week
Q881,6,5-6 times per week
Q881,7,1 time per day
Q881,8,2 or more times per day
Q882,1,Less than  3/4 cup
Q882,2,3/4 to 1 1/4 cups
Q882,3,More than 1 1/4 cups
Q884,1,1 time in the past month
Q884,2,2-3 times in the past month
Q884,3,1 time per week
Q884,4,2 times per week
Q884,5,3-4 times per week
Q884,6,5-6 times per week
Q884,7,1 time per day
Q884,8,2 or more times per day
Q885,1,Less than  1/4 cup
Q885,2,1/4 to  3/4 cup
Q885,3,More than  3/4 cups
Q887,1,1 time in the past month
Q887,2,2-3 times in the past month
Q887,3,1 time per week
Q887,4,2 times per week
Q887,5,3-4 times per week
Q887,6,5-6 times per week
Q887,7,1 time per day
Q887,8,2 or more times per day
Q888,1,Less than 1 ear or less than  1/2 cup
Q888,2,1 ear or  1/2 to  3/4 cup
Q888,3,More than 1 ear or more than  3/4 cup
Q890,1,1 time in the past month
Q890,2,2-3 times in the past month
Q890,3,1 time per week
Q890,4,2 times per week
Q890,5,3-4 times per week
Q890,6,5-6 times per week
Q890,7,1 time per day
Q890,8,2 or more times per day
Q891,1,Less than  1/4 cup
Q891,2,1/4 to 1 1/2 cups
Q891,3,More than 1 1/2 cups
Q893,1,1 time in the past month
Q893,2,2-3 times in the past month
Q893,3,1 time per week
Q893,4,2 times per week
Q893,5,3-4 times per week
Q893,6,5-6 times per week
Q893,7,1 time per day
Q893,8,2 or more times per day
Q894,1,Less than  1/4 cup
Q894,2,1/4 to 1 1/4 cups
Q894,3,More than 1 1/4 cups
Q896,1,1 time in the past month
Q896,2,2-3 times in the past month
Q896,3,1 time per week
Q896,4,2 times per week
Q896,5,3-4 times per week
Q896,6,5-6 times per week
Q896,7,1 time per day
Q896,8,2 or more times per day
Q897,1,Less than  1/4 pepper
Q897,2,1/4 to  1/2 pepper
Q897,3,More than  1/2 pepper
Q899,1,1 time in the past month
Q899,2,2-3 times in the past month
Q899,3,1 time per week
Q899,4,2 times per week
Q899,5,3-4 times per week
Q899,6,5-6 times per week
Q899,7,1 time per day
Q899,8,2 or more times per day
Q900,1,Less than 1 slice or less than 1 tablespoon
Q900,2,1 slice or 1 to 4 tablespoons
Q900,3,More than 1 slice or more than 4 tablespoons
Q902,1,1 time in the past month
Q902,2,2-3 times in the past month
Q902,3,1 time per week
Q902,4,2 times per week
Q902,5,3-4 times per week
Q902,6,5-6 times per week
Q902,7,1 time per day
Q902,8,2 or more times per day
