Question ID,Question Format Description,Question Format Code,Question Set,Question Prompt
Q777,Radio Button (code),0,"Coffee, caffeinated or decaffeinated (including brewed coffee, instant coffee, or espresso shots; <i>NOT including espresso drinks such as latte, mocha, etc.)</i>",How often was the coffee you drank dark roasted?
Q779,Radio Button (code),0,"Espresso drink mixtures, caffeinated or decaffeinated (including latte, mocha, cappuccino, etc.)","How often did you drink espresso drink mixtures, caffeinated or decaffeinated (including latte, mocha, cappuccino, etc.)?"
Q780,Radio Button (code),0,"Espresso drink mixtures, caffeinated or decaffeinated (including latte, mocha, cappuccino, etc.)","Each time you drank espresso drink mixtures, how much did you usually drink?"
Q781,Radio Button (code),0,"Espresso drink mixtures, caffeinated or decaffeinated (including latte, mocha, cappuccino, etc.)",How often were the espresso drink mixtures you drank decaffeinated?
Q783,Radio Button (code),0,"COLD or ICED tea, caffeinated or decaffeinated (<i>NOT including herbal or green tea</i>)","Over the past month</u>, how many glasses, cans, or bottles of COLD or ICED tea, caffeinated or decaffeinated (NOT including herbal or green tea), did you drink?"
Q784,Radio Button (code),0,"COLD or ICED tea, caffeinated or decaffeinated (<i>NOT including herbal or green tea</i>)",How often was the cold or iced tea you drank decaffeinated?
Q785,Radio Button (code),0,"COLD or ICED tea, caffeinated or decaffeinated (<i>NOT including herbal or green tea</i>)","How often was the cold or iced tea you drank presweetened with either sugar or artificial sweeteners (such as Splenda, Equal, Sweet'N Low or others)?"
Q786,Radio Button (code),0,"COLD or ICED tea, caffeinated or decaffeinated (<i>NOT including herbal or green tea</i>)",What kind of sweetener was usually added to your presweetened cold or iced tea?
Q788,Radio Button (code),0,"HOT tea, caffeinated or decaffeinated <i>(NOT including herbal or green tea</i>)","Over the past month</u>, how many cups of HOT tea, caffeinated or decaffeinated (NOT including herbal or green tea), did you drink?"
Q789,Radio Button (code),0,"HOT tea, caffeinated or decaffeinated <i>(NOT including herbal or green tea</i>)",How often was the hot tea you drank decaffeinated?
Q791,Radio Button (code),0,Green tea,"Over the past month</u>, how many cups of green tea did you drink?"
Q792,Radio Button (code),0,Green tea,How often was the green tea you drank decaffeinated?
Q794,Radio Button (code),0,"Herbal or fruit tea (including hibiscus, chamomile, licorice, sassafras, etc.)","Over the past month</u>, how many cups of herbal or fruit tea (including hibiscus, chamomile, licorice, sassafras, etc.) did you drink?"
Q795,Checkbox Index (delimited codes),7,What did you add to your coffee and tea?,Please check the box next to each item you added to your coffee or tea at least once in the past month.
Q797,Radio Button (code),0,"Sugar, honey, or other sweeteners","How often did you add sugar, honey, or other sweeteners to your coffee or tea, iced or hot (including green and herbal tea)?"
Q798,Radio Button (code),0,"Sugar, honey, or other sweeteners","Each time sugar or honey was added to your coffee or tea, how much did you usually eat?"
Q799,Radio Button (code),0,"Sugar, honey, or other sweeteners","How often did you add artificial sweetener (such as Splenda, Equal, Sweet'N Low, or others) to your coffee or tea (including green and herbal tea)?"
Q800,Radio Button (code),0,"Sugar, honey, or other sweeteners",What kind of artificial sweetener did you usually use?
Q801,Radio Button (code),0,"Sugar, honey, or other sweeteners","Each time artificial sweetener was added to your coffee or tea, how much did you usually eat?"
Q803,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer",How often was non-dairy creamer added to your coffee or tea (including green and herbal tea)?
Q804,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer","Each time non-dairy creamer was added to your coffee or tea, how much did you usually eat?"
Q805,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer",What kind of non-dairy creamer did you usually use?
Q806,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer",How often was cream or half-and-half added to your coffee or tea (including green and herbal tea)?
Q807,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer","Each time cream or half-and-half was added to your coffee or tea, how much did you usually eat?"
Q808,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer",What kind of cream or half-and-half did you normally use?
Q809,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer","How often was milk (including soy, rice, almond, and coconut) added to your coffee or tea (including green and herbal tea)?"
Q810,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer","Each time milk (including soy, rice, almond, and coconut) was added to your coffee or tea, how much did you usually eat?"
Q811,Radio Button (code),0,"Cream, milk (including soy, rice, almond, and coconut), or non-dairy creamer",What kind of milk did you usually use?
Q812,Checkbox Index (delimited codes),7,What <b>fruits</b> have you eaten?,Please check the box next to each food that you ate at least once in the past month.
Q814,Radio Button (code),0,Applesauce,"Over the past month</u>, how often did you eat applesauce?"
Q815,Radio Button (code),0,Applesauce,"Each time you ate applesauce, how much did you usually eat?"
Q817,Radio Button (code),0,Apples,"Over the past month</u>, how often did you eat apples?"
Q818,Radio Button (code),0,Apples,"Each time you ate apples, how much did you usually eat?"
Q820,Radio Button (code),0,Bananas,"Over the past month</u>, how often did you eat bananas?"
Q821,Radio Button (code),0,Bananas,"Each time you ate bananas, how much did you usually eat?"
Q823,Radio Button (code),0,"Pineapple (fresh, canned, or frozen)","Over the past month</u>, how often did you eat pineapple (fresh, canned, or frozen)?"
Q824,Radio Button (code),0,"Pineapple (fresh, canned, or frozen)","Each time you ate pineapple, how much did you usually eat?"
Q826,Radio Button (code),0,"Pears (fresh, canned, or frozen)","Over the past month</u>, how often did you eat pears (fresh, canned, or frozen)?"
Q827,Radio Button (code),0,"Pears (fresh, canned, or frozen)","Each time you ate pears, how much did you usually eat?"
Q829,Radio Button (code),0,"Peaches, nectarines, or plums","Over the past month</u>, How often did you eat peaches, nectarines, or plums?"
Q830,Radio Button (code),0,"Peaches, nectarines, or plums","Each time you ate peaches, nectarines, or plums, how much did you usually eat?"
Q832,Radio Button (code),0,Dried fruit (such as prunes or raisins),"Over the past month</u>, how often did you eat dried fruit (such as prunes or raisins)?"
Q833,Radio Button (code),0,Dried fruit (such as prunes or raisins),"Each time you ate dried fruit, how much did you usually eat?"
Q835,Radio Button (code),0,Grapes,"Over the past month</u>, how often did you eat grapes?"
Q836,Radio Button (code),0,Grapes,"Each time you ate grapes, how much did you usually eat?"
Q838,Radio Button (code),0,Cantaloupe,"Over the past month</u>, how often did you eat cantaloupe?"
Q839,Radio Button (code),0,Cantaloupe,"Each time you ate cantaloupe, how much did you usually eat?"
Q841,Radio Button (code),0,"Melons, other than cantaloupe (such as watermelon or honeydew)","Over the past month</u>, how often did you eat melons, other than cantaloupe (such as watermelon or honeydew)?"
Q842,Radio Button (code),0,"Melons, other than cantaloupe (such as watermelon or honeydew)","Each time you ate melons, other than cantaloupe, how much did you usually eat?"
Q844,Radio Button (code),0,Strawberries,"Over the past month</u>, how often did you eat strawberries?"
Q845,Radio Button (code),0,Strawberries,"Each time you ate strawberries, how much did you usually eat?"
Q847,Radio Button (code),0,Blueberries,"Over the past month</u>, how often did you eat blueberries?"
Q848,Radio Button (code),0,Blueberries,"Each time you ate blueberries, how much did you usually eat?"
Q850,Radio Button (code),0,"Oranges, tangerines, or clementines","Over the past month</u>, how often did you eat oranges, tangerines, or clementines?"
Q851,Radio Button (code),0,"Oranges, tangerines, or clementines","Each time you ate oranges, tangerines, or clementines, how much did you usually eat?"
Q853,Radio Button (code),0,Grapefruit,"Over the past month</u>, how often did you eat grapefruit?"
Q854,Radio Button (code),0,Grapefruit,"Each time you ate grapefruit, how much did you usually eat?"
Q856,Radio Button (code),0,Avocado or guacamole,"Over the past month</u>, how often did you eat avocado or guacamole?"
Q857,Radio Button (code),0,Avocado or guacamole,"Each time you ate avocado or guacamole, how much did you usually eat?"
Q859,Radio Button (code),0,Other kinds of fruit (not listed above),"Over the past month</u>, how often did you eat other kinds of fruit?"
Q860,Radio Button (code),0,Other kinds of fruit (not listed above),"Each time you ate other kinds of fruit, how much did you usually eat?"
Q861,Checkbox Index (delimited codes),7,"What <b>vegetables, potatoes,</b> and <b>beans</b> did you eat?",Please check the box next to each food that you ate at least once in the past month.
Q863,Radio Button (code),0,"COOKED greens (such as spinach, turnip, collard, mustard, chard, or kale)","Over the past month</u>, how often did you eat COOKED greens (such as spinach, turnip, collard, mustard, chard, or kale)?"
Q864,Radio Button (code),0,"COOKED greens (such as spinach, turnip, collard, mustard, chard, or kale)","Each time you ate COOKED greens, how much did you usually eat?"
Q866,Radio Button (code),0,"RAW greens (such as spinach, turnip, collard, chard, kale, watercress, seaweed, mustard greens, beet greens, or dandelion greens)","Over the past month</u>, how often did you eat RAW greens (such as spinach, turnip, collard, chard, kale, watercress, seaweed, mustard greens, beet greens, or dandelion greens)?"
Q867,Radio Button (code),0,"RAW greens (such as spinach, turnip, collard, chard, kale, watercress, seaweed, mustard greens, beet greens, or dandelion greens)","Each time you ate RAW greens, how much did you usually eat?"
Q869,Radio Button (code),0,Coleslaw,"Over the past month</u>, how often did you eat coleslaw?"
Q870,Radio Button (code),0,Coleslaw,"Each time you ate coleslaw, how much did you usually eat?"
Q872,Radio Button (code),0,Sauerkraut or cabbage (other than coleslaw),"Over the past month</u>, how often did you eat sauerkraut or cabbage (other than coleslaw)?"
Q873,Radio Button (code),0,Sauerkraut or cabbage (other than coleslaw),"Each time you ate sauerkraut or cabbage, how much did you usually eat?"
Q875,Radio Button (code),0,"COOKED carrots (including frozen, fresh, or canned)","Over the past month</u>, how often did you eat COOKED carrots (including frozen, fresh, or canned)?"
Q876,Radio Button (code),0,"COOKED carrots (including frozen, fresh, or canned)","Each time you ate COOKED carrots, how much did you usually eat?"
Q878,Radio Button (code),0,RAW carrots,"Over the past month</u>, how often did you eat RAW carrots?"
Q879,Radio Button (code),0,RAW carrots,"Each time you ate RAW carrots, how much did you usually eat?"
Q881,Radio Button (code),0,"String beans or green beans (fresh, canned, or frozen)","Over the past month</u>, how often did you eat string beans or green beans (fresh, canned, or frozen)?"
Q882,Radio Button (code),0,"String beans or green beans (fresh, canned, or frozen)","Each time you ate string beans or green beans, how much did you usually eat?"
Q884,Radio Button (code),0,"Peas (fresh, canned, or frozen)","Over the past month</u>, how often did you eat peas (fresh, canned, or frozen)?"
Q885,Radio Button (code),0,"Peas (fresh, canned, or frozen)","Each time you ate peas, how much did you usually eat?"
Q887,Radio Button (code),0,"Corn (fresh, canned, or frozen)","Over the past month</u>, how often did you eat corn (fresh, canned, or frozen)?"
Q888,Radio Button (code),0,"Corn (fresh, canned, or frozen)","Each time you ate corn, how much did you usually eat?"
Q890,Radio Button (code),0,Broccoli (fresh or frozen),"Over the past month</u>, how often did you eat broccoli (fresh or frozen)?"
Q891,Radio Button (code),0,Broccoli (fresh or frozen),"Each time you ate broccoli, how much did you usually eat?"
Q893,Radio Button (code),0,Cauliflower or Brussels sprouts (fresh or frozen),"Over the past month</u>, how often did you eat cauliflower or Brussels sprouts (fresh or frozen)?"
Q894,Radio Button (code),0,Cauliflower or Brussels sprouts (fresh or frozen),"Each time you ate cauliflower or Brussels sprouts, how much did you usually eat?"
Q896,Radio Button (code),0,"Sweet peppers (green, red, or yellow)","Over the past month</u>, how often did you eat sweet peppers (green, red, or yellow)?"
Q897,Radio Button (code),0,"Sweet peppers (green, red, or yellow)","Each time you ate sweet peppers, how much did you usually eat?"
Q899,Radio Button (code),0,Onions,"Over the past month</u>, how often did you eat onions?"
Q900,Radio Button (code),0,Onions,"Each time you ate onions, how much did you usually eat?"
Q902,Radio Button (code),0,Garlic,"Over the past month</u>, how often did you eat garlic?"
Q903,Radio Button (code),0,Garlic,"Each time you ate garlic, how much did you usually eat?"
Q905,Radio Button (code),0,Mixed vegetables,"Over the past month</u>, how often did you eat mixed vegetables?"
Q906,Radio Button (code),0,Mixed vegetables,"Each time you ate mixed vegetables, how much did you usually eat?"
Q907,Radio Button (code),0,Fats added during cooking,"Now think about all the COOKED vegetables (NOT including potatoes) you ate in the past month</u> and how they were prepared.  How often were your vegetables COOKED WITH some sort of fat, including oil spray?"
Q908,Checkbox (delimited codes),1,Fats added during cooking,Which fats were usually added to your cooked vegetables DURING COOKING? Mark all that apply.
Q909,Radio Button (code),0,Fats added during cooking,"When margarine or butter was added to your cooked vegetables DURING COOKING, how much did you usually eat?"
Q910,Radio Button (code),0,Fats added during cooking,"When olive oil or other oils were added to your cooked vegetables DURING COOKING, how much did you usually eat?"
Q911,Radio Button (code),0,Fats added after cooking,"Now, thinking again about all the COOKED vegetables (NOT including potatoes) you ate in the past month</u>, how often was some sort of fat or dressing added AFTER COOKING OR AT THE TABLE?"
Q912,Checkbox (delimited codes),1,Fats added after cooking,Which fat or dressing were usually added AFTER COOKING OR AT THE TABLE? Mark all that apply.
Q913,Radio Button (code),0,Fats added after cooking,"When margarine or butter was added to your cooked vegetables AFTER COOKING OR AT THE TABLE, how much did you usually eat?"
Q914,Radio Button (code),0,Fats added after cooking,"When salad dressing was added to your cooked vegetables AFTER COOKING OR AT THE TABLE, how much did you usually eat?"
Q916,Radio Button (code),0,Lettuce salads (with or without other vegetables),"Over the past month</u>, how often did you eat lettuce salads (with or without other vegetables)?"
Q917,Radio Button (code),0,Lettuce salads (with or without other vegetables),"Each time you ate lettuce salads, how much did you usually eat?"
Q918,Radio Button (code),0,Lettuce salads (with or without other vegetables),"How often did these lettuce salads you ate include dark green lettuce (such as endive, chicory, escarole, romaine, or arugula)?"
Q920,Radio Button (code),0,Salad dressing on salads (including low-fat or fat-free),"Over the past month</u>, how often did you eat salad dressing on salads (including low-fat or fat-free)?"
Q921,Radio Button (code),0,Salad dressing on salads (including low-fat or fat-free),"Each time you ate salad dressing on salads, how much did you usually eat?"
Q923,Radio Button (code),0,"Mayonnaise on salads (including low-fat, diet, or light)","Over the past month</u>, how often did you eat mayonnaise on salads (including low-fat, diet, or light)?"
Q924,Radio Button (code),0,"Mayonnaise on salads (including low-fat, diet, or light)","Each time you ate mayonnaise on salads, how much did you usually eat?"
Q926,Radio Button (code),0,Fresh tomatoes (including those in salads),"Over the past month</u>, how often did you eat fresh tomatoes (including those in salads)?"
Q927,Radio Button (code),0,Fresh tomatoes (including those in salads),"Each time you ate fresh tomatoes, how much did you usually eat?"
Q929,Radio Button (code),0,Salsa,"Over the past month</u>, how often did you eat salsa?"
Q930,Radio Button (code),0,Salsa,"Each time you ate salsa, how much did you usually eat?"
Q932,Radio Button (code),0,Catsup or ketchup,"Over the past month</u>, how often did you eat catsup or ketchup?"
Q933,Radio Button (code),0,Catsup or ketchup,"Each time you ate catsup or ketchup, how much did you usually eat?"
Q935,Radio Button (code),0,Sweet potatoes or yams,"Over the past month</u>, how often did you eat sweet potatoes or yams?"
Q936,Radio Button (code),0,Sweet potatoes or yams,"Each time you ate sweet potatoes or yams, how much did you usually eat?"
Q938,Radio Button (code),0,"French fries, home fries, hash browned potatoes, or Tater Tots","Over the past month</u>, how often did you eat French fries, home fries, hash browned potatoes, or Tater Tots?"
Q939,Radio Button (code),0,"French fries, home fries, hash browned potatoes, or Tater Tots","Each time you ate French fries, home fries, hash browned potatoes, or Tater Tots, how much did you usually eat?"
Q941,Radio Button (code),0,Potato salad,"Over the past month</u>, how often did you eat potato salad?"
Q942,Radio Button (code),0,Potato salad,"Each time you ate potato salad, how much did you usually eat?"
Q944,Radio Button (code),0,"Baked, boiled, or mashed potatoes","Over the past month</u>, how often did you eat baked, boiled, or mashed potatoes?"
Q945,Radio Button (code),0,"Baked, boiled, or mashed potatoes","Each time you ate baked, boiled, or mashed potatoes, how much did you usually eat?"
Q946,Radio Button (code),0,"Baked, boiled, or mashed potatoes",How often were the potatoes you ate mashed?
Q947,Radio Button (code),0,"Baked, boiled, or mashed potatoes","How often was sour cream (including low-fat, diet, or light) added to your potatoes, EITHER IN COOKING OR AT THE TABLE?"
Q948,Radio Button (code),0,"Baked, boiled, or mashed potatoes","Each time sour cream was added to your potatoes, how much did you usually eat?"
Q949,Radio Button (code),0,"Baked, boiled, or mashed potatoes","How often was margarine (including low-fat, diet, or light) added to your potatoes, EITHER IN COOKING OR AT THE TABLE?"
Q950,Radio Button (code),0,"Baked, boiled, or mashed potatoes","How often was butter (including low-fat, diet, or light) added to your potatoes, EITHER IN COOKING OR AT THE TABLE?"
Q951,Radio Button (code),0,"Baked, boiled, or mashed potatoes","Each time margarine or butter was added to your potatoes, how much did you usually eat?"
Q953,Radio Button (code),0,"Cooked dried or canned beans (such as baked beans, pintos, kidney, black-eyed peas, lima, lentils, soybeans, or refried beans; <i>NOT including bean soups or chili</i>)","Over the past month</u>, how often did you eat cooked dried or canned beans (such as baked beans, pintos, lentils, kidney, black-eyed peas, lima, soybeans, or refried beans; NOT including bean soups or chili)?"
Q954,Radio Button (code),0,"Cooked dried or canned beans (such as baked beans, pintos, kidney, black-eyed peas, lima, lentils, soybeans, or refried beans; <i>NOT including bean soups or chili</i>)","Each time you ate cooked dried or canned beans, how much did you usually eat?"
Q955,Radio Button (code),0,"Cooked dried or canned beans (such as baked beans, pintos, kidney, black-eyed peas, lima, lentils, soybeans, or refried beans; <i>NOT including bean soups or chili</i>)",How often were the cooked dried or canned beans you ate refried beans?
Q957,Radio Button (code),0,Other kinds of vegetables (not listed above),"Over the past month</u>, how often did you eat other kinds of vegetables?"
Q958,Radio Button (code),0,Other kinds of vegetables (not listed above),"Each time you ate other kinds of vegetables, how much did you usually eat?"
Q959,Checkbox Index (delimited codes),7,"What <b>soups, chili, tacos, burritos, tortillas, etc.</b> have you eaten?",Please check the box next to each food that you ate at least once in the past month.
Q961,Radio Button (code),0,Soups,"Over the past month</u>, how often did you eat soups?"
Q962,Radio Button (code),0,Soups,"Each time you ate soups, how much did you usually eat?"
Q963,Radio Button (code),0,Soups,How often were the soups you ate bean soups?
Q964,Radio Button (code),0,Soups,How often were the soups you ate tomato or vegetable soups?
Q965,Radio Button (code),0,Soups,How often were the soups you ate broth soups (including chicken ) with or without noodles or rice?
Q967,Radio Button (code),0,Chili,"Over the past month</u>, how often did you eat chili?"
Q968,Radio Button (code),0,Chili,"Each time you ate chili, how much did you usually eat?"
Q970,Radio Button (code),0,"Tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas","Over the past month</u>, how often did you eat tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas?"
Q971,Radio Button (code),0,"Tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas",How often did you eat burritos?
Q972,Radio Button (code),0,"Tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas",How often did you eat tacos?
Q973,Radio Button (code),0,"Tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas","Each time you ate burritos or tacos, how much did you usually eat?"
Q975,Radio Button (code),0,Corn or wheat tortillas,"How often did you usually eat corn or wheat tortillas, not including in tacos, tostados, burritos, tamales, fajitas, enchiladas, quesadillas, or chimichangas?"
Q976,Radio Button (code),0,Corn or wheat tortillas,"Each time you ate corn or wheat tortillas, how many did you usually eat?"
Q977,Radio Button (code),0,Corn or wheat tortillas,How often were the tortillas you ate corn tortillas?
Q978,Checkbox Index (delimited codes),7,"What <b>rice, pasta,</b> and <b>pizza</b> have you eaten?",Please check the box next to each food that you ate at least once in the past month.
Q980,Radio Button (code),0,"Rice or other cooked grains (such as bulgur, cracked wheat, or millet; <i>NOT including sushi)</i>","Over the past month</u>, how often did you eat rice or other cooked grains (such as bulgur, cracked wheat, or millet; NOT including sushi)?"
Q981,Radio Button (code),0,"Rice or other cooked grains (such as bulgur, cracked wheat, or millet; <i>NOT including sushi)</i>","Each time you ate rice or other cooked grains, how much did you usually eat?"
Q982,Radio Button (code),0,"Rice or other cooked grains (such as bulgur, cracked wheat, or millet; <i>NOT including sushi)</i>",How often was the rice or other cooked grains you ate whole grain?
Q984,Radio Button (code),0,Sushi,"Over the past month</u>, how often did you eat sushi?"
Q985,Radio Button (code),0,Sushi,"Each time you ate sushi, how much did you usually eat?"
